ID,Name,Tags,Link
1682B,AND Sorting,"bitmasks, constructive algorithms, sortings",https://codeforces.com/contest/1682/problem/B
1849B,Monsters,"greedy, math, sortings",https://codeforces.com/contest/1849/problem/B
1620B,Triangles on a Rectangle,"geometry, greedy, math",https://codeforces.com/contest/1620/problem/B
1715B,Beautiful Array,"constructive algorithms, greedy, math",https://codeforces.com/contest/1715/problem/B
1857C,Assembly via Minimums,"greedy, sortings",https://codeforces.com/contest/1857/problem/C
1618C,Paint the Array,math,https://codeforces.com/contest/1618/problem/C
1411B,Fair Numbers,"brute force, number theory",https://codeforces.com/contest/1411/problem/B
1850E,Cardboard for Pictures,"binary search, geometry, implementation, math",https://codeforces.com/contest/1850/problem/E
1511C,Yet Another Card Deck,"brute force, data structures, implementation, trees",https://codeforces.com/contest/1511/problem/C
1791E,Negatives and Positives,"dp, greedy, sortings",https://codeforces.com/contest/1791/problem/E
1708B,Difference of GCDs,"constructive algorithms, math",https://codeforces.com/contest/1708/problem/B
1631B,Fun with Even Subarrays,"dp, greedy",https://codeforces.com/contest/1631/problem/B
1656B,Subtract Operation,"data structures, greedy, math, two pointers",https://codeforces.com/contest/1656/problem/B
1826B,Lunatic Never Content,"math, number theory",https://codeforces.com/contest/1826/problem/B
1438B,Valerii Against Everyone,"constructive algorithms, data structures, greedy, sortings",https://codeforces.com/contest/1438/problem/B
1418A,Buying Torches,math,https://codeforces.com/contest/1418/problem/A
1891B,Deja Vu,"brute force, math, sortings",https://codeforces.com/contest/1891/problem/B
1899C,Yarik and Array,"dp, greedy, two pointers",https://codeforces.com/contest/1899/problem/C
1914C,Quests,"greedy, math",https://codeforces.com/contest/1914/problem/C
1899B,250 Thousand Tons of TNT,"brute force, implementation, number theory",https://codeforces.com/contest/1899/problem/B
1614B,Divan and a New Project ,"constructive algorithms, sortings",https://codeforces.com/contest/1614/problem/B
1567B,MEXor Mixup,"bitmasks, greedy",https://codeforces.com/contest/1567/problem/B
1474B,Different Divisors,"binary search, constructive algorithms, greedy, math, number theory",https://codeforces.com/contest/1474/problem/B
1485A,Add and Divide,"brute force, greedy, math, number theory",https://codeforces.com/contest/1485/problem/A
1506C,Double-ended Strings,"brute force, implementation, strings",https://codeforces.com/contest/1506/problem/C
1704B,Luke is a Foodie,"brute force, greedy, implementation",https://codeforces.com/contest/1704/problem/B
1362A,Johnny and Ancient Computer,implementation,https://codeforces.com/contest/1362/problem/A
1765M,Minimum LCM,"math, number theory",https://codeforces.com/contest/1765/problem/M
1840C,Ski Resort,"combinatorics, math, two pointers",https://codeforces.com/contest/1840/problem/C
1659A,Red Versus Blue,"constructive algorithms, greedy, implementation, math",https://codeforces.com/contest/1659/problem/A
1831B,Array merging,"constructive algorithms, greedy",https://codeforces.com/contest/1831/problem/B
1913B,Swap and Delete,strings,https://codeforces.com/contest/1913/problem/B
408A,Line to Cashier,implementation,https://codeforces.com/contest/408/problem/A
1194A,Remove a Progression,math,https://codeforces.com/contest/1194/problem/A
1312B,Bogosort,"constructive algorithms, sortings",https://codeforces.com/contest/1312/problem/B
1733B,Rule of League,"constructive algorithms, math",https://codeforces.com/contest/1733/problem/B
1669B,Triple,"implementation, sortings",https://codeforces.com/contest/1669/problem/B
1760C,Advantage,"data structures, implementation, sortings",https://codeforces.com/contest/1760/problem/C
1859B,Olya and Game with Arrays,"constructive algorithms, greedy, math, sortings",https://codeforces.com/contest/1859/problem/B
1876A,Helmets in Night Light,"greedy, sortings",https://codeforces.com/contest/1876/problem/A
1537B,Bad Boy,"constructive algorithms, greedy, math",https://codeforces.com/contest/1537/problem/B
1559A,Mocha and Math,"bitmasks, constructive algorithms, math",https://codeforces.com/contest/1559/problem/A
1543A,Exciting Bets,"greedy, math, number theory",https://codeforces.com/contest/1543/problem/A
1607B,Odd Grasshopper,math,https://codeforces.com/contest/1607/problem/B
1593B,Make it Divisible by 25,"dfs and similar, dp, greedy, math",https://codeforces.com/contest/1593/problem/B
1155A,Reverse a Substring,"implementation, sortings, strings",https://codeforces.com/contest/1155/problem/A
1883C,Raspberries,"dp, math",https://codeforces.com/contest/1883/problem/C
